iso3_country,start_time,end_time,original_inventory_sector,gas,location,total_emission,year
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,manure-left-on-pasture-cattle,co2e_20yr,Eastern Cape,58417.9167891667,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,enteric-fermentation-other,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,enteric-fermentation-other,co2,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,enteric-fermentation-other,ch4,Eastern Cape,1571.72385087678,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,enteric-fermentation-other,co2e_20yr,Eastern Cape,127623.976691194,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,manure-management-other,n2o,Eastern Cape,8.56860694030449,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,manure-management-other,co2,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,manure-management-other,ch4,Eastern Cape,105.830045098882,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,manure-management-other,co2e_20yr,Eastern Cape,10932.6293567324,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,residential-onsite-fuel-usage,n2o,Eastern Cape,19.41085,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,residential-onsite-fuel-usage,co2,Eastern Cape,183416.613175194,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,residential-onsite-fuel-usage,ch4,Eastern Cape,522.33874,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,residential-onsite-fuel-usage,co2e_20yr,Eastern Cape,231304.081964707,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,non-residential-onsite-fuel-usage,n2o,Eastern Cape,0.2842,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,non-residential-onsite-fuel-usage,co2,Eastern Cape,4895.39355,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,non-residential-onsite-fuel-usage,ch4,Eastern Cape,16.56765,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,non-residential-onsite-fuel-usage,co2e_20yr,Eastern Cape,6348.55790705172,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,oil-and-gas-production,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,oil-and-gas-production,co2,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,oil-and-gas-production,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,oil-and-gas-production,co2e_20yr,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,oil-and-gas-transport,n2o,Eastern Cape,0,2022
